projectname;packageandclass;path;Readability;Understandability;Complexity_inv;Modularization_inv;Overall;Code_Health;TD_Time;TD_Ratio;MI;line;cbo;cbod;cboi;cgc;cyc;dac;dit;lcom4;lpc;mll;mnd;mpc;nlam;nle;noa;noc;nod;noi;noi_ic;nolm;nom;non;non_am;non_lm;non_m;nop;nos;nos_am;nos_deeper_4;nos_lm;nos_m;rfc;rfc_ic
aoi;artofillusion.animation.ActorEditorWindow;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\ActorEditorWindow.java;1;2;2;1;2;8.99;242;0.02;21.0269;27;30;26;7;45;61;79;1;1;6;27;2;71;36;2;1;0;0;48;59;40;13;904;56.69231;356;691;1;451;28.30769;3;145;322;61;72
aoi;artofillusion.animation.AnimationPreviewer;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\AnimationPreviewer.java;2;2;1;1;3;8.73;354;0.05;23.5925;m;16;14;3;37;31;65;0;1;6;62;5;37;31;5;1;0;0;31;31;31;6;570;94.16667;314;555;1;289;48.5;3;141;281;37;37
aoi;artofillusion.animation.distortion.CustomDistortion;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\distortion\CustomDistortion.java;1;3;1;1;2;8.96;25;0.01;35.6171;19;10;9;1;36;32;46;1;1;2;42;3;13;10;3;1;0;0;12;12;10;4;271;72.25;127;270;1;110;32;0;51;109;16;16
aoi;artofillusion.animation.FilterParameterTrack;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\FilterParameterTrack.java;1;2;1;0;2;9.24;144;0.02;19.0213;24;17;16;1;38;57;99;1;2;11;27;3;56;31;2;1;0;0;50;50;31;27;731;29.80769;231;730;1;393;16.65385;0;109;392;77;77
aoi;artofillusion.animation.IKTrack;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\IKTrack.java;1;2;1;0;2;9.84;264;0.02;22.2977;25;22;22;3;65;77;109;1;4;12;35;3;57;24;3;1;0;0;29;48;26;20;847;22.4;80;414;1;464;13.55;0;50;241;49;68
aoi;artofillusion.animation.NullKeyframe;aoi\sourcefile.s\ArtOfIllusion\src\artofillusion\animation\NullKeyframe.java;0;1;3;3;0;9.39;20;0.02;49.1486;18;3;1;2;0;11;13;0;7;0;0;0;1;11;0;1;0;0;0;0;11;11;62;8.71429;27;61;1;32;4.42857;0;9;31;11;11
aoi;artofillusion.animation.PositionTrack;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\PositionTrack.java;2;0;1;1;2;7.23;194;0.01;12.5673;24;38;22;18;105;121;152;1;2;5;13;5;77;57;3;1;0;0;69;69;57;40;1195;34.21053;248;1182;1;648;19.86842;24;127;641;109;109
aoi;artofillusion.animation.Skeleton;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\Skeleton.java;2;3;0;0;3;7.34;242;0.02;12.0646;22;54;13;43;145;106;271;0;2;37;77;4;58;25;4;0;0;0;53;53;25;20;1563;82.89474;320;1556;0;596;32.15789;10;139;592;73;73
aoi;artofillusion.animation.SkeletonTool;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\SkeletonTool.java;1;2;1;0;2;6.33;168;0.02;17.4726;24;29;23;7;83;71;150;1;2;11;55;4;77;29;3;1;1;1;75;75;29;11;996;91.81818;314;982;1;472;44.81818;11;167;465;86;86
aoi;artofillusion.animation.VerticalAxis;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\VerticalAxis.java;1;2;2;2;1;9.68;12;0.01;37.3628;23;1;0;1;13;16;0;1;1;3;26;2;1;12;2;1;0;0;0;0;12;4;216;54.5;114;213;1;91;23.5;0;48;89;4;4
